"","id","film","revenue","budget","language","popularity","runtime","vote.average","vote.count","tagline","release.date","genres","certification","gender","actor.name"
"549",92060,"Michael Jackson's Thriller",0,1100000,"en",5.516,14,8.1,273,"","1983-11-14","[27, 10402]","",1,"Ola Ray"
"550",850,"A Christmas Story",19294144,0,"en",10.433,94,7.4,686,"Peace, Harmony, Comfort and Joy... Maybe Next Year.","1983-11-18","[35, 10751]","PG",2,"Darren McGavin"
"551",19698,"Porky's II: The Next Day",33759266,6500000,"en",5.555,98,5.3,126,"If you thought the night before was funny, wait till you see the next day.","1983-06-24","[35]","R",2,"Wyatt Knight"
"552",2193,"My Tutor",22587000,0,"en",6.135,97,5.6,30,"School's out...But Bobby's education has just begun","1983-03-04","[35, 18, 10749]","R",0,"Matt Lattanzi"
"553",14854,"Lone Wolf McQuade",12232628,5000000,"en",8.311,107,6,115,"The 'Mad Dog' Criminal...The 'Lone Wolf' Lawman...The Ultimate Showdown.","1983-04-15","[28, 37, 80]","PG",2,"David Carradine"
"554",10650,"Sudden Impact",67642693,22000000,"en",9.477,117,6.6,430,"Dirty Harry is at it again","1983-12-07","[80]","R",1,"Sondra Locke"
"555",1394,"Nostalgia",0,0,"ru",6.549,120,8.1,229,"","1983-05-01","[18, 10749]","",2,"Erland Josephson"
"556",13567,"Sleepaway Camp",1.1e+07,350000,"en",6.135,85,6.2,272,"…you won't be coming home!","1983-11-18","[27]","R",2,"Jonathan Tiersten"
"557",7012,"The Day After",0,0,"en",8.204,127,6.9,178,"They told us it would be impossible to make this movie. They told us it would be impossible for you to watch it. We hope nothing is impossible.","1983-11-28","[18, 878, 10770]","",2,"John Cullum"
"558",18835,"Private School",0,0,"en",5.623,89,5.4,62,"You won't believe what goes on and what comes off in... Private School","1983-07-29","[35, 10749]","R",1,"Betsy Russell"
"559",10805,"Staying Alive",64892670,22000000,"en",6.594,93,5.4,228,"Tony Manero knows the old days are over – But nobody's gonna tell him he can't feel that good again","1983-07-11","[18, 10402]","PG",1,"Cynthia Rhodes"
"560",10576,"Psycho II",34725000,5000000,"en",6.836,113,6.3,312,"It's 22 years later, and Norman Bates is finally coming home.","1983-06-03","[27, 9648, 53]","R",1,"Vera Miles"
"561",218,"The Terminator",78371200,6400000,"en",25.14,108,7.5,7847,"Your future is in his hands.","1984-10-26","[28, 878, 53]","R",2,"Michael Biehn"
"562",81,"NausicaÃ¤ of the Valley of the Wind",3301446,1000000,"ja",19.491,117,7.9,1681,"A young girl's love called forth miracles…","1984-03-11","[12, 16, 14]","PG",2,"Ichirō Nagai"
"563",311,"Once Upon a Time in America",5300000,20000000,"en",15.373,229,8.4,2683,"Crime, passion and lust for power.","1984-05-23","[18, 80]","R",2,"James Woods"
"564",15144,"Sixteen Candles",23686027,6500000,"en",18.192,93,6.8,1249,"When you're just sixteen anything can happen!","1984-05-04","[35, 10749]","PG",2,"Justin Henry"
"565",87,"Indiana Jones and the Temple of Doom",3.33e+08,28000000,"en",13.731,118,7.2,5527,"If adventure has a name... it must be Indiana Jones.","1984-05-23","[12, 28]","PG",1,"Kate Capshaw"
"566",620,"Ghostbusters",295212467,30000000,"en",17.725,107,7.4,5302,"They ain't afraid of no ghost.","1984-06-08","[35, 14]","PG",2,"Dan Aykroyd"
"567",927,"Gremlins",153083102,11000000,"en",16.121,106,7.1,3831,"Don't get him wet, keep him out of bright light, and never feed him after midnight.","1984-06-07","[14, 27, 35]","PG",1,"Phoebe Cates"
"568",90,"Beverly Hills Cop",316360478,15000000,"en",15.276,105,7.1,2173,"The Heat Is On!","1984-01-25","[28, 35, 80]","R",2,"Judge Reinhold"
"569",655,"Paris, Texas",2181987,1746964,"en",7.341,146,8.1,689,"A place for dreams. A place for heartbreak. A place to pick up the pieces.","1984-05-19","[18]","R",1,"Nastassja Kinski"
"570",4437,"2010",40400657,28000000,"en",9.113,116,6.7,500,"In the very near future a small group of Americans and Russians set out on the greatest adventure of them all …. To see if there is life beyond the stars.","1984-12-06","[878, 53]","PG",2,"John Lithgow"
"571",1788,"Footloose",80035402,8200000,"en",8.592,107,6.6,1143,"The music is on his side.","1984-02-17","[18, 10749]","PG",1,"Lori Singer"
"572",279,"Amadeus",51973029,18000000,"en",15.237,160,8,2356,"...Everything you've heard is true","1984-09-06","[18, 36, 10402]","R",2,"Tom Hulce"
"573",625,"The Killing Fields",34700291,14400000,"en",6.544,142,7.6,347,"Here, only the silent survive.","1984-11-02","[18, 36, 10752]","R",2,"Haing S. Ngor"
"574",9314,"Nineteen Eighty-Four",0,0,"en",7.6,113,6.9,707,"George Orwell's Terrifying Vision Comes To The Screen.","1984-10-10","[18, 878, 53]","R",2,"Richard Burton"
